,Unnamed: 0,chunk,label
187,187,subject_2_thw33jke4j_vid_0_0.mp4,2
188,188,subject_2_thw33jke4j_vid_0_1.mp4,3
189,189,subject_2_thw33jke4j_vid_0_10.mp4,1
190,190,subject_2_thw33jke4j_vid_0_11.mp4,2
191,191,subject_2_thw33jke4j_vid_0_12.mp4,1
192,192,subject_2_thw33jke4j_vid_0_13.mp4,2
193,193,subject_2_thw33jke4j_vid_0_14.mp4,2
194,194,subject_2_thw33jke4j_vid_0_15.mp4,3
195,195,subject_2_thw33jke4j_vid_0_16.mp4,2
196,196,subject_2_thw33jke4j_vid_0_17.mp4,2
197,197,subject_2_thw33jke4j_vid_0_18.mp4,2
198,198,subject_2_thw33jke4j_vid_0_19.mp4,3
199,199,subject_2_thw33jke4j_vid_0_2.mp4,3
200,200,subject_2_thw33jke4j_vid_0_20.mp4,3
201,201,subject_2_thw33jke4j_vid_0_21.mp4,3
202,202,subject_2_thw33jke4j_vid_0_22.mp4,3
203,203,subject_2_thw33jke4j_vid_0_23.mp4,3
204,204,subject_2_thw33jke4j_vid_0_24.mp4,3
205,205,subject_2_thw33jke4j_vid_0_25.mp4,3
206,206,subject_2_thw33jke4j_vid_0_26.mp4,3
207,207,subject_2_thw33jke4j_vid_0_27.mp4,3
208,208,subject_2_thw33jke4j_vid_0_3.mp4,3
209,209,subject_2_thw33jke4j_vid_0_4.mp4,3
210,210,subject_2_thw33jke4j_vid_0_5.mp4,3
211,211,subject_2_thw33jke4j_vid_0_6.mp4,3
212,212,subject_2_thw33jke4j_vid_0_7.mp4,2
213,213,subject_2_thw33jke4j_vid_0_8.mp4,3
214,214,subject_2_thw33jke4j_vid_0_9.mp4,2
215,215,subject_2_thw33jke4j_vid_1_0.mp4,3
216,216,subject_2_thw33jke4j_vid_1_1.mp4,3
217,217,subject_2_thw33jke4j_vid_1_10.mp4,3
218,218,subject_2_thw33jke4j_vid_1_11.mp4,1
219,219,subject_2_thw33jke4j_vid_1_12.mp4,2
220,220,subject_2_thw33jke4j_vid_1_13.mp4,3
